,"Gross national income per capita 2012, Atlas method and PPP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Purchasing,,,,,,,
,,,,Atlas,,,,,,power parity,,,,,,,
,,,,methodology,,,,,,(international,,,,,,,
,Ranking,,Economy,(US dollars),,,Ranking,,Economy,dollars),,,,,,,
,,,,,,,,,,,,,,,,,
MAF,,,St. Martin (French part),j,,,,,Tuvalu,..,,,TUV,,,,
TCA,,,Turks and Caicos Islands,j,,,,,Virgin Islands (U.S.),..,,,VIR,,,,
VIR,,,Virgin Islands (U.S.),j,,,,,West Bank and Gaza,..,,,WBG,,,,
WBG,,,West Bank and Gaza,l,,,,,Zimbabwe,..,,,ZWE,,,,
,,,,,,,,,,,,,,,,,
WLD,,,World,"10,138",,,,,World,"12,186",,,WLD,,,,
,,,,,,,,,,,,,,,,,
LIC,,,Low income,588,,,,,Low income,"1,375",,,LIC,,,,
MIC,,,Middle income,"4,383",,,,,Middle income,"7,172",,,MIC,,,,
LMC,,,  Lower middle income,"1,913",,,,,  Lower middle income,"3,923",,,LMC,,,,
UMC,,,  Upper middle income,"6,977",,,,,  Upper middle income,"10,584",,,UMC,,,,
LMY,,,Low & middle income,"3,825",,,,,Low & middle income,"6,315",,,LMY,,,,
EAP,,,  East Asia & Pacific,"4,884",,,,,  East Asia & Pacific,"7,758",,,EAP,,,,
ECA,,,  Europe & Central Asia,"6,691",,,,,  Europe & Central Asia,"11,854",,,ECA,,,,
LAC,,,  Latin America & Caribbean,"8,981",,,,,  Latin America & Caribbean,"11,859",,,LAC,,,,
MNA,,,  Middle East & North Africa,..,,,,,  Middle East & North Africa,..,,,MNA,,,,
SAS,,,  South Asia,"1,462",,,,,  South Asia,"3,565",,,SAS,,,,
SSA,,,  Sub-Saharan Africa,"1,351",,,,,  Sub-Saharan Africa,"2,233",,,SSA,,,,
HIC,,,High income,"38,182",,,,,High income,"38,325",,,HIC,,,,
EMU,,,  Euro area,"37,884",,,,,  Euro area,"36,217",,,EMU,,,,
,,,,,,,,,,,,,,,,,
,.. Not available. PPP is purchasing power parity; an international dollar has the same purchasing power over GNI as a U.S. dollar has in the United States. ,,,,,,,,,,,,,,,,
,"Note: Rankings include all 214 World Bank Atlas economies, but only those with confirmed GNI per capita estimates or those that rank among the top twenty for the Atlas",,,,,,,,,,,,,,,,
,method are shown in rank order. Figures in italics are for 2011 or 2010.  a. 2012 data not available; ranking is approximate.  b. Based on regression; other PPP figures are,,,,,,,,,,,,,,,,
,extrapolated from the 2005 International Comparison Program benchmark estimates.  c. Data are for the area controlled by the government of the Republic of Cyprus.  ,,,,,,,,,,,,,,,,
,d. Excludes Abkhazia and South Ossetia.  e. Includes Former Spanish Sahara.  f. Excludes Transnistria.  g. Excludes South Sudan.  h. Covers mainland Tanzania only.,,,,,,,,,,,,,,,,
,"i. Estimated to be upper middle income ($4,086 to $12,615).  j. Estimated to be high income ($12,616 or more).  k. Estimated to be low income ($1,035 or less).  l. Estimated",,,,,,,,,,,,,,,,
,"to be lower middle income ($1,036 to $4,085).",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
